0	0	1	18.280275
0	2	1	15.249242
0	4	1	3.528655
1	0	2	15.361784
1	2	2	8.296278
1	4	1	18.206081
2	0	3	37.932075
2	2	3	4.254934
2	4	2	2.423960
3	0	4	32.231243
3	2	1	14.778375
3	4	2	7.570376
4	0	5	3.164960
4	2	4	8.456826
4	4	3	6.591742
5	0	6	44.309143
5	2	1	22.755786
5	4	1	2.207213
6	0	7	2.448192
6	2	2	5.470279
6	4	2	1.228242
7	0	8	3.026685
7	2	1	6.763995
7	4	1	46.630820
8	0	9	21.397892
8	2	2	9.989397
8	4	1	15.601539
9	0	10	4.758112
9	2	5	12.753695
9	4	3	3.853317
10	0	11	36.216855
10	2	3	4.209601
10	4	3	0.952310
11	0	12	0.315999
11	2	1	3.061754
11	4	4	1.257210
12	0	13	0.559874
12	2	4	0.821699
12	4	5	0.715770
12	0	5	4.892332
13	2	2	0.781383
13	4	6	0.601121
14	0	15	0.019073
14	2	5	0.979051
14	4	7	0.581635
14	0	7	4.891010
15	2	3	0.669291
15	4	8	0.535626
16	0	17	1.564515
16	2	6	0.563266
16	4	2	0.699256
17	0	18	2.982581
17	2	4	0.673192
17	4	9	0.535746
17	0	10	4.779800
18	2	7	0.858367
18	4	10	0.583884
18	0	11	4.561601
19	2	5	0.404192
19	4	11	0.605116
20	0	21	1.068139
20	2	8	0.834605
20	4	3	0.772536
21	0	22	1.199868
21	2	6	0.685589
21	4	1	0.892786
22	0	23	1.772702
22	2	9	0.802629
22	4	12	0.736592
23	0	24	0.541113
23	2	7	0.845299
23	4	13	1.197220
24	0	25	0.218050
24	2	10	1.881732
24	4	14	1.035944
24	0	17	4.698215
25	2	8	0.700039
25	4	15	0.705489
26	0	27	2.081458
26	2	11	1.197377
26	4	16	0.921167
27	0	28	2.166262
27	2	9	0.821343
27	4	17	0.613419
27	0	20	4.844134
28	2	12	0.684263
28	4	18	0.718995
29	0	30	1.651033
29	2	10	0.777499
29	4	19	0.805558
30	0	31	0.941405
30	2	13	1.119500
30	4	20	1.084105
31	0	32	0.668152
31	2	11	1.483807
31	4	21	1.175595
32	0	33	0.287634
32	2	14	1.277590
32	4	22	1.572524
33	0	34	0.647851
33	2	12	0.697557
33	4	23	0.771989
34	0	35	0.566758
34	2	15	0.690714
34	4	24	0.523253
34	0	27	4.766913
35	2	13	1.280231
35	4	25	1.186532
36	0	37	0.891870
36	2	16	3.059100
36	4	26	4.192457
36	0	29	4.701461
37	2	14	5.902784
37	4	27	4.205401
38	0	39	1.839052
38	2	17	4.543878
38	4	28	1.052587
39	0	40	0.502081
39	2	15	2.035426
39	4	29	1.620594
40	0	41	1.780986
40	2	18	19.218132
40	4	30	1.272043
41	0	42	0.109896
41	2	16	0.573574
41	4	31	0.614796
42	0	43	2.826083
42	2	19	1.355828
42	4	32	1.942222
43	0	44	1.589408
43	2	17	0.731699
43	4	33	0.520137
44	0	45	3.383002
44	2	20	2.531400
44	4	34	2.866032
45	0	46	1.829486
45	2	18	4.911978
45	4	35	1.955830
46	0	47	2.451886
46	2	21	5.917334
46	4	36	3.876531
47	0	48	3.743780
47	2	19	3.048064
47	4	37	1.417334
48	0	49	3.913658
48	2	22	1.156043
48	4	38	2.157278
49	0	50	4.165289
49	2	20	3.846125
49	4	2	4.640759
50	0	51	5.426346
50	2	23	5.073345
50	4	39	1.185170
0	1	1	0.729297
0	3	1	12.393010
0	5	1	3.464229
1	1	1	5.459834
1	3	1	9.075871
1	5	1	1.810959
2	1	2	3.312076
2	3	2	13.902732
2	5	2	0.588319
3	1	1	11.524639
3	3	2	18.447192
3	5	2	2.659127
4	1	3	4.122220
4	3	3	14.017978
4	5	3	6.555229
5	1	2	13.287278
5	3	1	5.011831
5	5	1	1.642614
6	1	2	10.157109
6	3	3	1.041759
6	5	1	1.002602
7	1	1	22.714581
7	3	4	9.980238
7	5	1	4.323815
8	1	3	6.983958
8	3	2	17.109775
8	5	1	1.176030
